0,0,0
10,1.7977,103
20,3.2812,188
30,4.7298,271
40,6.2134,356
50,7.6445,438
60,9.1281,523
70,10.5941,607
80,12.0253,689
90,13.4565,771
100,15.1146,866
110,15.1669,869
120,15.1844,870
